FWER,type,rho,cutoff
0.02917,Algo2 w2,0.46,0.0038074044224653556
0.02917,Algo2 w2 prime,0.46,0.0038115215472629208
0.02382,Algo1 w1,0.47000000000000003,0.003125
0.02847,Algo1 w2,0.47000000000000003,0.0038113405159754784
0.02863,Algo1 w2 prime,0.47000000000000003,0.003834040692824773
0.02767,Algo2 w1,0.47000000000000003,0.0036877453394503178
0.0286,Algo2 w2,0.47000000000000003,0.0038301891149108993
0.02863,Algo2 w2 prime,0.47000000000000003,0.003834620009082959
0.02361,Algo1 w1,0.48,0.003125
0.02869,Algo1 w2,0.48,0.003834058043362893
0.02884,Algo1 w2 prime,0.48,0.0038579250598454336
0.02787,Algo2 w1,0.48,0.0037029271884902225
0.0288,Algo2 w2,0.48,0.003853772459305164
0.02884,Algo2 w2 prime,0.48,0.0038585403401167704
0.02438,Algo1 w1,0.49,0.003125
0.02908,Algo1 w2,0.49,0.003857574701056242
0.02922,Algo1 w2 prime,0.49,0.0038826684757647836
0.02827,Algo2 w1,0.49,0.0037184547269230907
0.02918,Algo2 w2,0.49,0.0038781919265089546
0.02922,Algo2 w2 prime,0.49,0.003883321780780027
0.02269,Algo1 w1,0.5,0.003125
0.02771,Algo1 w2,0.5,0.0038819287798533405
0.02791,Algo1 w2 prime,0.5,0.003908312746106248
0.0267,Algo2 w1,0.5,0.0037343368969873407
0.02784,Algo2 w2,0.5,0.003903487519868595
0.02791,Algo2 w2 prime,0.5,0.003909006254140439
0.02311,Algo1 w1,0.51,0.003125
0.02848,Algo1 w2,0.51,0.003907161223145045
0.0287,Algo1 w2 prime,0.51,0.0039349025922867245
0.02745,Algo2 w1,0.51,0.0037505830468036786
0.02865,Algo2 w2,0.51,0.003929702001061549
0.02871,Algo2 w2 prime,0.51,0.003935638606846157
0.02245,Algo1 w1,0.52,0.003125
0.02758,Algo1 w2,0.52,0.003933315868722079
0.02771,Algo1 w2 prime,0.52,0.003962485918828873
0.02661,Algo2 w1,0.52,0.0037672029590461497
0.02769,Algo2 w2,0.52,0.003956881141072035
0.02771,Algo2 w2 prime,0.52,0.003963266876991911
0.0215,Algo1 w1,0.53,0.003125
0.02694,Algo1 w2,0.53,0.0039604397186383455
